Question,Answer,QType
What is (are) Rosacea ?,"Rosacea is a long-term disease that affects your skin and sometimes your eyes. It causes redness and pimples. Rosacea is most common in women and people with fair skin. It most often affects middle-aged and older adults.    In most cases, rosacea only affects the face. Symptoms can include       - Frequent redness of the face, or flushing     - Small, red lines under the skin    - Acne    - A swollen nose    - Thick skin, usually on the forehead, chin, and cheeks     - Red, dry, itchy eyes and sometimes vision problems        No one knows what causes rosacea. You may be more likely to have it if you blush a lot or if rosacea runs in your family. Rosacea is not dangerous. There is no cure, but treatments can help. They include medicines and sometimes surgery.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",information
What are the treatments for Polymyositis ?,"There is no cure for polymyositis, but the symptoms can be treated. Options include medication, physical therapy, exercise, heat therapy (including microwave and ultrasound), orthotics and assistive devices, and rest. The standard treatment for polymyositis is a corticosteroid drug, given either in pill form or intravenously. Immunosuppressant drugs, such as azathioprine and methotrexate, may reduce inflammation in people who do not respond well to prednisone. Periodic treatment using intravenous immunoglobulin can also improve recovery. Other immunosuppressive agents used to treat the inflammation associated with polymyositis include cyclosporine A, cyclophosphamide, and tacrolimus. Physical therapy is usually recommended to prevent muscle atrophy and to regain muscle strength and range of motion.",treatment
Is neuroferritinopathy inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.  In most cases, an affected person inherits the mutation from one affected parent. Other cases may result from new mutations in the gene. These cases occur in people with no history of the disorder in their family.",inheritance
What to do for Overview of Kidney Disease in Children ?,"- Kidney disease can affect children in various ways, ranging from treatable disorders without long-term consequences to life-threatening conditions. Acute kidney disease develops suddenly, lasts a short time, and can be serious with long-lasting consequences, or may go away completely once the underlying cause has been treated.  - Chronic kidney disease (CKD) does not go away with treatment and tends to get worse over time.  - Kidney disease in children can be caused by      - birth defects    - hereditary diseases    - infection    - nephrotic syndrome    - systemic diseases    - trauma    - urine blockage or reflux    - A health care provider diagnoses kidney disease in children by completing a physical exam, asking for a medical history, and reviewing signs and symptoms. To confirm diagnosis, the health care provider may order one or more of the following tests:      - urine tests    - blood test    - imaging studies    - kidney biopsy    - Treatment for kidney disease in children depends on the cause of the illness.  - Children with a kidney disease that is causing high blood pressure may need to take medications to lower their blood pressure. Improving blood pressure can significantly slow the progression of kidney disease. As kidney function declines, children may need treatment for anemia and growth failure.  - Children with kidney disease that leads to kidney failure must receive treatment to replace the work the kidneys do. The two types of treatment are dialysis and transplantation.  - For children with CKD, learning about nutrition is vital because their diet can affect how well their kidneys work. Parents or guardians should always consult with their childs health care team before making any dietary changes.",considerations
What are the treatments for Alzheimer's Disease ?,"Medications Can Treat Symptoms There is no known cure for Alzheimer's disease, but there are medicines that can treat symptoms of the disease. Most Alzheimers medicines work best for people in the mild or moderate stages of the disease. For example, they can keep memory loss from getting worse for a time. Other medicines may help behavioral symptoms, such as trouble sleeping or feeling worried or depressed. All of these medicines may have side effects and may not work for everyone. A person with Alzheimer's should be under a doctor's care. He or she may see a primary care doctor or a specialist, such as a neurologist, geriatric psychiatrist, or geriatrician. The doctor can treat the person's physical and behavioral problems, answer questions, and refer the patient and caregiver to other sources of help. Medications for Alzheimers Currently, no treatment can stop Alzheimer's disease. However, four medications are used to treat its symptoms. These medicines may help maintain thinking, memory, and speaking skills for a limited time. They work by regulating certain chemicals in the brain. Most of these medicines work best for people in the early or middle stages of the disease. For people with mild to moderate Alzheimers, donepezil (Aricept), rivastigmine (Exelon), or galantamine (Razadyne) may help. Donepezil is also approved to treat symptoms of moderate to severe Alzheimer's. Another drug, memantine (Namenda), is used to treat symptoms of moderate to severe Alzheimers, although it also has limited effects. All of these medicines have possible side effects, including nausea, vomiting, diarrhea, and loss of appetite. You should report any unusual symptoms to a doctor right away. It is important to follow a doctor's instructions when taking any medication. Scientists are testing many new drugs and other treatments to see if they can help slow, delay, or prevent Alzheimers disease. Learn how Alzheimers medications work, how to take them, and where to find more information.  Managing Behavioral Symptoms Certain medicines and other approaches can help control the behavioral symptoms of Alzheimer's disease. These symptoms include sleeplessness, agitation, wandering, anxiety, anger, and depression. Treating these symptoms often makes people with Alzheimers disease more comfortable and makes their care easier for caregivers. See more about medications used to treat behavioral symptoms. Some medicines must be used with caution. Memory Aids Memory aids may help some people who have mild Alzheimers disease with day-to-day living. A calendar, list of daily plans, notes about simple safety measures, and written directions describing how to use common household items can be useful. Help for Caregivers Caring for a person with Alzheimers can have high physical, emotional, and financial costs. The demands of day-to-day care, changing family roles, and difficult decisions about placement in a care facility can be difficult. Sometimes, taking care of the person with Alzheimers makes caregivers feel good because they are providing love and comfort. At other times, it can be overwhelming. Changes in the person can be hard to understand and cope with. Here are some ways for caregivers of people with Alzheimers to get help. - Ask family and friends to help out in specific ways, like making a meal or visiting the person while they take a break.  - Join a caregivers support group.  - Use home health care, adult day care, and respite services. Ask family and friends to help out in specific ways, like making a meal or visiting the person while they take a break. Join a caregivers support group. Use home health care, adult day care, and respite services. For more information about caring for someone with Alzheimers disease, see  Alzheimer's Caregiving.",treatment
What are the symptoms of Abdominal aortic aneurysm ?,"What are the signs and symptoms of Abdominal aortic aneurysm? The Human Phenotype Ontology provides the following list of signs and symptoms for Abdominal aortic aneurysm. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abdominal aortic aneurysm - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) cryptogenic cirrhosis ?,"Cryptogenic cirrhosis is a condition that impairs liver function. People with this condition develop irreversible liver disease caused by scarring of the liver (cirrhosis), typically in mid- to late adulthood.  The liver is a part of the digestive system that helps break down food, store energy, and remove waste products, including toxins. Minor damage to the liver can be repaired by the body. However, severe or long-term damage can lead to the replacement of normal liver tissue with scar tissue.  In the early stages of cryptogenic cirrhosis, people often have no symptoms because the liver has enough normal tissue to function. Signs and symptoms become apparent as more of the liver is replaced by scar tissue. Affected individuals can experience fatigue, weakness, loss of appetite, weight loss, nausea, swelling (edema), enlarged blood vessels, and yellowing of the skin and whites of the eyes (jaundice).  People with cryptogenic cirrhosis may develop high blood pressure in the vein that supplies blood to the liver (portal hypertension). Cryptogenic cirrhosis can lead to type 2 diabetes, although the mechanism is unclear. Some people with cryptogenic cirrhosis develop cancer of the liver (hepatocellular cancer).",information
What are the symptoms of Diffuse panbronchiolitis ?,"What are the signs and symptoms of Diffuse panbronchiolitis? The Human Phenotype Ontology provides the following list of signs and symptoms for Diffuse panbronchiolitis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Bronchiectasis - Cough - Hypoxemia - Progressive - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Chromosome 8q deletion ?,"Chromosome 8q deletion is a chromosome abnormality that occurs when there is a missing copy of the genetic material located on the long arm (q) of chromosome 8. The severity of the condition and the signs and symptoms depend on the size and location of the deletion and which genes are involved. Features that often occur in people with chromosome 8q deletion include developmental delay, intellectual disability, behavioral problems, and distinctive facial features. Most cases are not inherited, but people can pass the deletion on to their children. Treatment is based on the signs and symptoms present in each person.",information
What are the symptoms of ABCD syndrome ?,"What are the signs and symptoms of ABCD syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for ABCD syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal auditory evoked potentials - Aganglionic megacolon - Albinism - Autosomal recessive inheritance - Hearing impairment - Hypopigmentation of the fundus - Large for gestational age - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Carpal Tunnel Syndrome ?,"Carpal tunnel syndrome (CTS) occurs when the median nerve, which runs from the forearm into the palm of the hand, becomes pressed or squeezed at the wrist. The carpal tunnel is a narrow, rigid passageway of ligament and bones at the base of the hand that houses the median nerve and the tendons that bend the fingers. The median nerve provides feeling to the palm side of the thumb and to most of the fingers. Symptoms usually start gradually, with numbness, tingling, weakness, and sometimes pain in the hand and wrist. People might have difficulty with tasks such as driving or reading a book. Decreased hand strength may make it difficult to grasp small objects or perform other manual tasks. In some cases no direct cause of the syndrome can be identified. Contributing factors include trauma or injury to the wrist that causes swelling, thyroid disease, rheumatoid arthritis, and fluid retention during pregnancy. Women are three times more likely than men to develop carpal tunnel syndrome. The disorder usually occurs only in adults.",information
What is (are) Acquired hemophilia A ?,"Acquired hemophilia A is a bleeding disorder that interferes with the body's blood clotting process. Although the condition can affect people of all ages, it generally occurs in older people (the median age of diagnosis is between 60 and 67 years). Signs and symptoms include prolonged bleeding, frequent nosebleeds, bruising throughout the body, solid swellings of congealed blood (hematomas), hematuria, and gastrointestinal or urologic bleeding. Acquired hemophilia A occurs when the body's immune system attacks and disables a certain protein that helps the blood clot (called coagulation factor VIII). About half of the cases are associated with other conditions, such as pregnancy, autoimmune disease, cancer, skin diseases, or allergic reactions to medications. Treatment is aimed at controlling bleeding episodes and addressing the underlying cause of the condition.",information
What are the treatments for Syncope ?,"The immediate treatment for an individual who has fainted involves checking first to see if their airway is open and they are breathing. The person should remain lying down for at least 10-15 minutes, preferably in a cool and quiet space. If this isnt possible, have the individual sit forward and lower their head below their shoulders and between their knees. Ice or cold water in a cup is refreshing. For individuals who have problems with chronic fainting spells, therapy should focus on recognizing the triggers and learning techniques to keep from fainting. At the appearance of warning signs such as lightheadedness, nausea, or cold and clammy skin, counter-pressure maneuvers that involve gripping fingers into a fist, tensing the arms, and crossing the legs or squeezing the thighs together can be used to ward off a fainting spell. If fainting spells occur often without a triggering event, syncope may be a sign of an underlying heart disease.",treatment
What are the treatments for glycogen storage disease type VII ?,"These resources address the diagnosis or management of glycogen storage disease type VII:  - Genetic Testing Registry: Glycogen storage disease, type VII  - The Swedish Information Centre for Rare Diseases   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",treatment
What is (are) Lyme disease ?,"Lyme disease is the most common tickborne infectious disease in the United States. Early signs and symptoms of the condition include fever, chills, muscle pain, headache, and joint pain. As the condition progresses, affected people may experience heart problems, Bell's palsy, arthritis, abnormal muscle movement, speech problems and cognitive (thinking) abnormalities. Please visit the Center for Disease Control and Prevention's Web site for a more comprehensive list of symptoms. Lyme disease is caused by the bacterium Borrelia burgdorferi, which is transmitted to humans through the bite of infected blacklegged ticks. Certain features of the condition, including whether or not an affected person will develop medication-resistant chronic arthritis, is thought to be influenced by genetic factors (certain human leukocyte antigen genes). Treatment generally includes antibiotics to address the bacterial infection and other medications (i.e. pain medications) to relieve symptoms.",information
What is (are)  ?,"On this Page General Information What is vancomycin-resistant enterococci? What types of infections does vancomycin-resistant enterococci cause? Are certain people at risk of getting vancomycin-resistant enterococci? What is the treatment for vancomycin-resistant enterococci? How is vancomycin-resistant enterococci spread? How can patients prevent the spread of vancomycin-resistant enterococci? What should a patient do if they think they have vancomycin-resistant enterococci? Recommendations and Guidelines General Information For more images of this bacterium, search the Public Health Image Library What is vancomycin-resistant enterococci? Enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. These bacteria can sometimes cause infections. Vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. In some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (VRE). Most VRE infections occur in hospitals. Top of page What types of infections does VRE cause? VRE can live in the human intestines and female genital tract without causing disease (often called colonization). However, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. Top of page Are certain people at risk of getting VRE? The following persons are at increased risk becoming infected with VRE: People who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. People who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. People with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. People who have undergone surgical procedures such as abdominal or chest surgery. People with medical devices that stay in for some time such as urinary catheters or central intravenous (IV) catheters. People who are colonized with VRE. Top of page What is the treatment for VRE? People with colonized VRE (bacteria are present, but have no symptoms of an infection)  do not need treatment. Most VRE infections can be treated with antibiotics other than vancomycin. Laboratory testing of the VRE can determine which antibiotics will work. For people who get VRE infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. Top of page How is VRE spread? VRE is often passed from person to person by the contaminated hands of caregivers. VRE can get onto a caregiver's hands after they have contact with other people with VRE or after contact with contaminated surfaces. VRE can also be spread directly to people after they touch surfaces that are contaminated with VRE. VRE is not spread through the air by coughing or sneezing. Top of page How can patients prevent the spread of VRE? If a patient or someone in their household has VRE, the following are some things they can do to prevent the spread of VRE: Keep their hands clean. Always wash their hands thoroughly after using the bathroom and before preparing food. Clean their hands after contact with persons who have VRE. Wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. Frequently clean areas of the home, such as bathrooms, that may become contaminated with VRE. Wear gloves if hands may come in contact with body fluids that may contain VRE, such as stool or bandages from infected wounds. Always wash their hands after removing gloves. If someone has VRE, be sure to tell healthcare providers so that they are aware of the infection. Healthcare facilities use special precautions to help prevent the spread of VRE to others. Top of page What should patients do if they think they have vancomycin-resistant enterococci (VRE)? Anyone who thinks they have VRE must talk with their healthcare provider. Top of page Recommendations and Guidelines For more information about prevention and treatment of HAIs, see the resources below: Siegel JD, Rhinehart E, Jackson M, et al. The Healthcare Infection Control Practices Advisory Committee (HICPAC). Management of Multidrug-Resistant Organisms In Healthcare Settings, 2006",information
"What are the symptoms of Dwarfism, low-birth-weight type with unresponsiveness to growth hormone ?","What are the signs and symptoms of Dwarfism, low-birth-weight type with unresponsiveness to growth hormone? The Human Phenotype Ontology provides the following list of signs and symptoms for Dwarfism, low-birth-weight type with unresponsiveness to growth hormone. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hearing impairment - Hypoglycemia - Intellectual disability - Intrauterine growth retardation - Severe short stature - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What are the symptoms of Polycythemia Vera ?,"Polycythemia vera (PV) develops slowly. The disease may not cause signs or symptoms for years.
                
When signs and symptoms are present, they're the result of the thick blood that occurs with PV. This thickness slows the flow of oxygen-rich blood to all parts of your body. Without enough oxygen, many parts of your body won't work normally.
                
The signs and symptoms of PV include:
                
Headaches, dizziness, and weakness
                
Shortness of breath and problems breathing while lying down
                
Feelings of pressure or fullness on the left side of the abdomen due to an enlarged spleen (an organ in the abdomen)
                
Double or blurred vision and blind spots
                
Itching all over (especially after a warm bath), reddened face, and a burning feeling on your skin (especially your hands and feet)
                
Bleeding from your gums and heavy bleeding from small cuts
                
Unexplained weight loss
                
Fatigue (tiredness)
                
Excessive sweating
                
Very painful swelling in a single joint, usually the big toe (called gouty arthritis)
                
In rare cases, people who have PV may have pain in their bones.
                
Polycythemia Vera Complications
                
If you have PV, the thickness of your blood and the slowed blood flow can cause serious health problems.
                
Blood clots are the most serious complication of PV. Blood clots can cause a heart attack or stroke. They also can cause your liver and spleen to enlarge. Blood clots in the liver and spleen can cause sudden, intense pain.
                
Slowed blood flow also prevents enough oxygen-rich blood from reaching your organs. This can lead to angina (chest pain or discomfort) and heart failure. The high levels of red blood cells that PV causes can lead to stomach ulcers, gout, or kidney stones.
                
Some people who have PV may develop myelofibrosis (MY-e-lo-fi-BRO-sis). This is a condition in which your bone marrow is replaced with scar tissue. Abnormal bone marrow cells may begin to grow out of control.
                
This abnormal growth can lead to acute myelogenous (my-eh-LOJ-eh-nus) leukemia (AML), a cancer of the blood and bone marrow. This disease can worsen very quickly.",symptoms
Is Branchiooculofacial syndrome inherited ?,"How is branchiooculofacial syndrome (BOFS) inherited? Although some cases can be sporadic, most of the reported cases are inherited within families. BOFS is inherited in an autosomal dominant pattern, which means that one copy of the altered TFAP2A gene in each cell is sufficient to cause this condition.",inheritance
"What are the genetic changes related to X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection, and neoplasia ?","XMEN is caused by mutations in the MAGT1 gene. This gene provides instructions for making a protein called a magnesium transporter, which moves charged atoms (ions) of magnesium (Mg2+) into certain T cells. Specifically, the magnesium transporter produced from the MAGT1 gene is active in CD8+ T cells, which are especially important in controlling viral infections such as the Epstein-Barr virus (EBV). These cells normally take in magnesium when they detect a foreign invader, and the magnesium is involved in activating the T cell's response.  Researchers suggest that magnesium transport may also be involved in the production of another type of T cell called helper T cells (CD4+ T cells) in a gland called the thymus. CD4+ T cells direct and assist the functions of the immune system by influencing the activities of other immune system cells.  Mutations in the MAGT1 gene impair the magnesium transporter's function, reducing the amount of magnesium that gets into T cells. This magnesium deficiency prevents the efficient activation of the T cells to target EBV and other infections. Uncontrolled EBV infection increases the likelihood of developing lymphoma. Impaired production of CD4+ T cells resulting from abnormal magnesium transport likely accounts for the deficiency of this type of T cell in people with XMEN, contributing to the decreased ability to prevent infection and illness.",genetic changes
What is (are) Memory ?,"Your mind works a lot like a computer. Your brain puts information it judges to be important into ""files."" When you remember something, you pull up a file. Memory doesn't always work perfectly. As people grow older, it may take longer to retrieve those files. Some adults joke about having a ""senior moment.""    It's normal to forget things once in awhile. We've all forgotten a name, where we put our keys, or if we locked the front door. Seniors who forget things more often than others their age may have mild cognitive impairment. Forgetting how to use the telephone or find your way home may be signs of a more serious problem. These include Alzheimer's disease or other types of dementia, stroke, depression, head injuries, thyroid problems, or reactions to certain medicines. If you're worried about your forgetfulness, see your doctor.    NIH: National Institute on Aging",information
What is (are) Alzheimer's Disease ?,"Memory problems are typically one of the first signs of Alzheimers disease, though different people may have different initial symptoms. A decline in other aspects of thinking, such as finding the right words, vision/spatial issues, and impaired reasoning or judgment, may also signal the very early stages of Alzheimers disease.",information
What is (are) Tumors and Pregnancy ?,"Tumors during pregnancy are rare, but they can happen. Tumors can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. The most common cancers in pregnancy are breast cancer, cervical cancer, lymphoma, and melanoma. Cancer itself rarely harms the baby, and some cancer treatments are safe during pregnancy. You and your health care provider will work together to find the best treatment. Your options will depend on how far along the pregnancy is, as well as the type, size, and stage of your cancer.    Another type of tumor that women can get is called a gestational trophoblastic disease (GTD). It happens when a fertilized egg doesn't become a fetus. GTD is not always easy to find. It is usually benign, but some types can be malignant. The most common type of GTD is a molar pregnancy. In its early stages, it may look like a normal pregnancy. You should see your health care provider if you have vaginal bleeding (not menstrual bleeding).     Treatment depends on the type of tumor, whether it has spread to other places, and your overall health.",information
What is (are) nonbullous congenital ichthyosiform erythroderma ?,"Nonbullous congenital ichthyosiform erythroderma (NBCIE) is a condition that mainly affects the skin. Some affected infants are born with a tight, clear sheath covering their skin called a collodion membrane. This membrane is usually shed during the first few weeks of life. Individuals with NBCIE have skin that is red (erythema) and covered with fine white scales. Some people with NBCIE have outward turning eyelids and lips, a thickening of the skin on the palms and soles of the feet (keratoderma), and nails that do not grow normally (nail dystrophy). Infants with NBCIE may develop infections, an excessive loss of fluids (dehydration), and respiratory problems early in life.",information
What are the treatments for fatty acid hydroxylase-associated neurodegeneration ?,These resources address the diagnosis or management of fatty acid hydroxylase-associated neurodegeneration:  - Gene Review: Gene Review: Fatty Acid Hydroxylase-Associated Neurodegeneration  - Genetic Testing Registry: Spastic paraplegia 35   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,treatment
How many people are affected by Cowden syndrome ?,"Although the exact prevalence of Cowden syndrome is unknown, researchers estimate that it affects about 1 in 200,000 people.",frequency
what research (or clinical trials) is being done for Parkinson's Disease ?,Genetics is one of the most exciting areas of Parkinson's disease research. Studying the genes responsible for inherited cases can help researchers understand both inherited and sporadic cases of the disease. Sporadic means the disease occurs randomly and does not seem to run in families. Identifying gene defects can also help researchers - understand how the disease occurs   - develop animal models that accurately mimic the death of nerve cells in human Parkinson's disease  - identify new drug targets   - improve diagnosis. understand how the disease occurs develop animal models that accurately mimic the death of nerve cells in human Parkinson's disease identify new drug targets improve diagnosis.,research
What is (are) Colorectal Cancer ?,"How Tumors Form The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong -- cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous. How Colorectal Cancer Develops Cancer of the colon or rectum is called colorectal cancer. The colon and the rectum are part of the large intestine, which is part of the digestive system. Colorectal cancer occurs when tumors form in the lining of the large intestine, also called the large bowel. Colorectal cancer accounts for almost ten percent of all cancer deaths in the United States. The risk of developing colorectal cancer rises after age 50. It is common in both men and women. Colorectal Cancer Can Spread Sometimes, cancer cells break away from the malignant tumor and enter the bloodstream or the lymphatic system where they travel to other organs in the body. Among other things, the lymphatic system transports white blood cells that fight infection. When cancer travels or spreads from its original location in the colon to another part of the body such as the liver, it is called metastatic colorectal cancer and not liver cancer. When colorectal cancer does spread, it tends to spread to the liver or lungs. Cure Rate for Early Detection Today there are more ways than ever to treat colorectal cancer. As with almost all cancers, the earlier it is found, the more likely that the treatment will be successful. If colon cancer is detected in its early stages, it is up to 90 percent curable.",information
What is (are) congenital myasthenic syndrome ?,"Congenital myasthenic syndrome is a group of conditions characterized by muscle weakness (myasthenia) that worsens with physical exertion. The muscle weakness typically begins in early childhood but can also appear in adolescence or adulthood. Facial muscles, including muscles that control the eyelids, muscles that move the eyes, and muscles used for chewing and swallowing, are most commonly affected. However, any of the muscles used for movement (skeletal muscles) can be affected in this condition. Due to muscle weakness, affected infants may have feeding difficulties. Development of motor skills such as crawling or walking may be delayed. The severity of the myasthenia varies greatly, with some people experiencing minor weakness and others having such severe weakness that they are unable to walk.  Some individuals have episodes of breathing problems that may be triggered by fevers or infection. Severely affected individuals may also experience short pauses in breathing (apnea) that can lead to a bluish appearance of the skin or lips (cyanosis).",information
What is (are) Idiopathic inflammatory myopathy ?,"Idiopathic inflammatory myopathy refers to a group of conditions that affect the skeletal muscles (muscles used for movement). Although the condition can be diagnosed at any age, idiopathic inflammatory myopathy most commonly occurs in adults between ages 40 and 60 years or in children between ages 5 and 15 years. Signs and symptoms of the condition include muscle weakness, joint pain and fatigue. There are several forms of idiopathic inflammatory myopathy, including polymyositis, dermatomyositis, and sporadic inclusion body myositis, which are each associated with unique features. As the name suggests, the cause of the condition is currently unknown (idiopathic). However, researchers suspect that it may occur due to a combination of genetic and environmental factors. Treatment is supportive and based on the signs and symptoms present in each person.",information
What are the symptoms of Nephrotic syndrome ocular anomalies ?,"What are the signs and symptoms of Nephrotic syndrome ocular anomalies? The Human Phenotype Ontology provides the following list of signs and symptoms for Nephrotic syndrome ocular anomalies. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 90% Cataract 90% EEG abnormality 90% Hematuria 90% Hemiplegia/hemiparesis 90% Hypertension 90% Muscular hypotonia 90% Nephrotic syndrome 90% Nystagmus 90% Proteinuria 90% Hypoplasia of penis 50% Areflexia - Autosomal recessive inheritance - Blindness - Diffuse mesangial sclerosis - Edema - Hypoplasia of the ciliary body - Hypoplasia of the iris - Hypoproteinemia - Neonatal onset - Posterior lenticonus - Stage 5 chronic kidney disease - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Food Allergy ?,"Food allergy is an abnormal response to a food triggered by your body's immune system.    In adults, the foods that most often trigger allergic reactions include fish, shellfish, peanuts, and tree nuts, such as walnuts. Problem foods for children can include eggs, milk, peanuts, tree nuts, soy, and wheat.    The allergic reaction may be mild. In rare cases it can cause a severe reaction called anaphylaxis. Symptoms of food allergy include       - Itching or swelling in your mouth    - Vomiting, diarrhea, or abdominal cramps and pain    - Hives or eczema    - Tightening of the throat and trouble breathing    - Drop in blood pressure       Your health care provider may use a detailed history, elimination diet, and skin and blood tests to diagnose a food allergy.    When you have food allergies, you must be prepared to treat an accidental exposure. Wear a medical alert bracelet or necklace, and carry an auto-injector device containing epinephrine (adrenaline).    You can only prevent the symptoms of food allergy by avoiding the food. After you and your health care provider have identified the foods to which you are sensitive, you must remove them from your diet.    NIH: National Institute of Allergy and Infectious Diseases",information
What is (are) intrahepatic cholestasis of pregnancy ?,"Intrahepatic cholestasis of pregnancy is a liver disorder that occurs in pregnant women. Cholestasis is a condition that impairs the release of a digestive fluid called bile from liver cells. As a result, bile builds up in the liver, impairing liver function. Because the problems with bile release occur within the liver (intrahepatic), the condition is described as intrahepatic cholestasis. Intrahepatic cholestasis of pregnancy usually becomes apparent in the third trimester of pregnancy. Bile flow returns to normal after delivery of the baby, and the signs and symptoms of the condition disappear. However, they can return during later pregnancies.  This condition causes severe itchiness (pruritus) in the expectant mother. The itchiness usually begins on the palms of the hands and the soles of the feet and then spreads to other parts of the body. Occasionally, affected women have yellowing of the skin and whites of the eyes (jaundice). Some studies have shown that women with intrahepatic cholestasis of pregnancy are more likely to develop gallstones sometime in their life than women who do not have the condition.  Intrahepatic cholestasis of pregnancy can cause problems for the unborn baby. This condition is associated with an increased risk of premature delivery and stillbirth. Additionally, some infants born to mothers with intrahepatic cholestasis of pregnancy have a slow heart rate and a lack of oxygen during delivery (fetal distress).",information
